Date,Time,Show Name,Genre,Description
2026-07-11,8:00 PM,Janelle James,Comedy,Stand-up special featuring the Abbott Elementary star.
2026-07-14,6:00 PM,Salsa at Sunset,Free/Dance,Annual outdoor salsa night with live Latin rhythms and instructors.
2026-07-21,7:30 PM,Derek Hough: Symphony of Dance,Dance,High-energy fusion choreography and breathtaking stage design.
2026-07-22,7:30 PM,Derek Hough: Symphony of Dance,Dance,Encore performance of the brand-new live production.
2026-07-24,8:00 PM,Bruce Hornsby & The Noisemakers,Rock/Pop,Grammy-winning icon performing classic hits and Indigo Park material.
2026-07-26,7:00 PM,Hallmark Stars Live,Variety,Interactive fan event hosted by Nikki DeLoach featuring holiday film stars.
2026-07-29,7:30 PM,Hindley Street Country Club,Rock Tribute,Australia's premier cover band performing massive 70s and 80s hits.
2026-07-30,8:00 PM,Tyler Henry: The Hollywood Medium,Speaker,An evening of hope and healing detailing afterlife insights and readings.
2026-08-05,7:30 PM,The Concert: A Tribute to ABBA,Tribute,Authentic live recreation of ABBA's greatest legendary hits.
2026-08-16,7:00 PM,Stray Cats,Rockabilly,The iconic 80s rockabilly trio bringing their classic tour to Morristown.
2026-08-19,7:00 PM,Pure Prairie League & Atlanta Rhythm Section,Rock,A classic rock powerhouse lineup featuring Orleans & Firefall.
2026-09-09,7:30 PM,Melissa Etheridge,Rock,Grammy-winning singer-songwriter delivering raw, high-impact vocals.
2026-09-13,7:00 PM,Herman's Hermits starring Peter Noone,60s Pop,Classic British Invasion hits live on the main stage.
2026-09-19,8:00 PM,Cheap Trick,Rock,Rock and Roll Hall of Famers rocking their timeless power-pop anthems.
2026-09-20,7:30 PM,Air Supply,Soft Rock,The legendary duo performing iconic love ballads from across decades.
2026-09-24,7:30 PM,Kenny G,Jazz,The legendary multi-platinum saxophonist live in concert.
2026-09-26,8:00 PM,UB40,Reggae/Pop,World-renowned UK reggae band playing their global chart-topping hits.
2026-10-01,7:30 PM,The Commodores,Funk/Soul,Classic Motown and soul legends performing their rhythm heavy-hits.
2026-10-02,8:00 PM,Graham Nash,Folk/Rock,An intimate evening with the foundational member of CSNY.
2026-10-15,8:00 PM,Vitamin String Quartet & Girl Named Tom,Classical/Pop,Creative string arrangements alongside vocal harmony champions.
2026-10-21,7:30 PM,Toad The Wet Sprocket & Willy Porter,Alternative,90s alt-rock veterans performing live alongside acoustic virtuosos.
2026-10-29,8:00 PM,The Mavericks,Country/Rock,Genre-bending eclectic country-latin-rock outfit.
2026-11-06,8:00 PM,Art Garfunkel: What a Wonderful World,Vocal/Pop,The defining, historical voice celebrating his final legacy tour.
2026-11-07,2:00 PM,Rick Steves' Europe: A Symphonic Journey,Multimedia,A musical journey of history and travel with host Rick Steves and NJ Symphony.
2026-11-15,7:00 PM,Don McLean & Lee Greenwood,Folk/Country,An evening of quintessential American anthems and folk staples.
2026-11-19,8:00 PM,10,000 Maniacs,Alternative,Alternative pop-rock mainstays returning for their 2026 run.
2026-11-20,8:00 PM,Three Dog Night,Classic Rock,Legendary hit-makers churning out their massive 70s catalog.
2026-11-22,7:00 PM,Judy Collins,Folk,The iconic folk chanteuse delivering an unforgettable evening of song.
2026-12-04,8:00 PM,Darlene Love,Holiday,Rock and Roll Hall of Fame legend kicks off the winter holiday traditions.
2027-02-19,8:00 PM,Brian Stokes Mitchell,Broadway,Tony Award-winning powerhouse baritone center stage.
2027-03-19,7:30 PM,NJ Symphony: Mahler's Fifth Symphony,Classical,Featuring the world premiere of Allison Loggins-Hull's new concerto.
2027-04-09,8:00 PM,Audra McDonald,Broadway,The historic Tony-winning Broadway icon brings her stunning solo concert.

Category,Policy Detail
Location,100 South Street Morristown NJ 07960
Parking,No on-site parking. Reserved spots at Presbyterian Church (65 South St) and Verizon Lot (39 Maple Ave) available 2-3 weeks pre-show.
Parking Cost,MPAC lots are CASH ONLY day-of-show. Municipal garages (DeHart St) use card/app.
Accessibility,Accessible seating on Orchestra level only. Elevator access to Balcony. 10 wheelchair locations available.
Accessibility Services,Assistive listening devices and sensory kits at Guest Services. 2-week notice for ASL or Audio Description.
Tickets,All sales final. No refunds/exchanges. Children over 1 must have a ticket.
Security,Bag search at entry. Backpacks and large luggage strictly prohibited.
Shuttle,Available from Verizon and DeHart lots for select shows starting 2 hours prior to curtain.
Late Seating,Seating at discretion of House Manager during appropriate breaks.
