Date,Time,Show Name,Genre,Description
2026-03-10,7:30 PM,Gregorian: Pure Chants,World/Choral,Choreographed choir blending classical and pop/rock.
2026-03-11,7:30 PM,The High Kings,Folk,Contemporary Irish folk music and storytelling.
2026-03-12,7:30 PM,Kenny Wayne Shepherd Band,Blues/Rock,30th Anniversary tour of Ledbetter Heights.
2026-03-13,8:00 PM,Spyro Gyra & Stanley Jordan,Jazz,Double bill of fusion and guitar virtuosity.
2026-03-15,11:00 AM,The Gazillion Bubble Show,Family,Mind-blowing bubble artistry and interactive fun.
2026-03-15,2:00 PM,The Gazillion Bubble Show,Family,Mind-blowing bubble artistry and interactive fun.
2026-03-15,3:00 PM,Dream Like Taylor,Tribute/Family,Taylor Swift tribute featuring her biggest hits.
2026-03-20,7:30 PM,Icons of American Ballet,Dance,NJ Ballet & Symphony performing works by Balanchine.
2026-03-21,2:00 PM,Icons of American Ballet,Dance,NJ Ballet & Symphony performing works by Balanchine.
2026-03-21,7:30 PM,Sleeping Beauty,Dance,NJ Ballet full-length production with live orchestra.
2026-03-22,2:00 PM,Sleeping Beauty,Dance,NJ Ballet full-length production with live orchestra.
2026-03-25,7:30 PM,!Cubanismo!,Jazz/World,Cuban jazz ensemble featuring Jesus Alemañy.
2026-03-26,7:30 PM,The Ten Tenors,Vocal,30th Anniversary tour; classical and rock anthems.
2026-03-27,8:00 PM,The Mikado,Opera/Comedy,Restaging of the classic Gilbert & Sullivan operetta.
2026-03-29,2:00 PM,NJ Symphony: Beethoven's Pastoral,Classical,Beethoven's Symphony No. 6 and Mozart's Clarinet Concerto.
2026-04-03,7:30 PM,Forever K-Pop,Pop/Dance,High-energy tribute revue of BTS and BLACKPINK.
2026-04-04,8:00 PM,David Sedaris,Comedy/Speaker,Satirical personal essays and storytelling.
2026-04-07,7:30 PM,Collective Soul,Rock,90s alternative rock hits like Shine.
2026-04-09,7:30 PM,Women of Americana,Folk/Country,Celebration of roots music with Cristina Vane.
2026-04-10,7:30 PM,An Evening with Alton Brown,Variety/Food,Culinary demonstrations and mayhem.
2026-04-11,8:00 PM,The Moth,Storytelling,True personal stories told live without notes.
2026-04-18,7:30 PM,Tony Danza: Standards & Stories,Variety,Tony Danza performing music from the American Songbook.
2026-04-22,7:30 PM,One Night of Queen,Rock Tribute,Queen tribute featuring Gary Mullen & The Works.
2026-04-24,7:30 PM,The String Queens,Classical/Pop,String trio performing diverse musical genres.
2026-04-30,7:30 PM,Menopause The Musical 2,Theatre/Comedy,Sequel musical about friendship on the high seas.
2026-05-01,8:00 PM,Manhattan Comedy Night,Comedy,Stand-up showcase; Mature content (Adults only).
2026-05-03,7:00 PM,Wynton Marsalis & JLCO,Jazz,World-class jazz orchestra.
2026-05-09,8:00 PM,The Doo Wop Project,Vocal,Broadway stars reimagining modern hits in Doo Wop style.
2026-05-15,7:30 PM,The Glenn Miller Orchestra,Jazz/Swing,Classic big band swing from the 1930s and 40s.
2026-05-17,2:00 PM,NJ Symphony: Joshua Bell,Classical,Joshua Bell leading Mendelssohn's Italian Symphony.
2026-05-29,TBD,Disney's Frozen,Theatre/Family,MPAC 12th annual spring production.
2026-06-05,7:30 PM,Happy Together 2026,60s/70s Rock,Hits from The Turtles and The Association.
2026-06-06,TBD,Blippi: Be Like Blippi Tour,Family,Interactive live show for kids.
2026-06-11,7:30 PM,The Sergio Mendes Band,World/Jazz,Celebration of Mendes' bossa nova legacy.
2026-06-14,7:30 PM,Chicago,Rock,The legendary rock band with horns.
2026-06-18,7:30 PM,Jessie's Girl,80s Tribute,High-energy 80s covers.
2026-06-27,7:30 PM,Three American Troubadours,Tribute,Celebrating James Taylor and Carly Simon and Carole King.


Category,Policy Detail
Location,100 South Street Morristown NJ 07960
Parking,No on-site parking. Reserved spots at Presbyterian Church (65 South St) and Verizon Lot (39 Maple Ave) available 2-3 weeks pre-show.
Parking Cost,MPAC lots are CASH ONLY day-of-show. Municipal garages (DeHart St) use card/app.
Accessibility,Accessible seating on Orchestra level only. Elevator access to Balcony. 10 wheelchair locations available.
Accessibility Services,Assistive listening devices and sensory kits at Guest Services. 2-week notice for ASL or Audio Description.
Tickets,All sales final. No refunds/exchanges. Children over 1 must have a ticket.
Security,Bag search at entry. Backpacks and large luggage strictly prohibited.
Shuttle,Available from Verizon and DeHart lots for select shows starting 2 hours prior to curtain.
Late Seating,Seating at discretion of House Manager during appropriate breaks.
